ACH_DATE,AGE_BAND,GENDER,OPT_OUT,LIST_SIZE,RATE
01/04/2022,0-9,All,110635,6578689,1.681718044431041
01/04/2022,10-19,All,216742,7100050,3.0526827275864257
01/04/2022,20-29,All,474220,8073256,5.8739621287867
01/04/2022,30-39,All,633224,9175533,6.90122306791333
01/04/2022,40-49,All,539486,8053235,6.698997359446235
01/04/2022,50-59,All,529451,8264081,6.406653080965688
01/04/2022,60-69,All,405132,6452531,6.27865251635366
01/04/2022,70-79,All,297107,5041743,5.892942182891909
01/04/2022,80-89,All,106757,2364015,4.515918892223611
01/04/2022,90+,All,15701,522612,3.004332085753867
01/04/2022,All,All,3328566,61625745,5.401258840765333
01/04/2022,Unknown,All,111,0,0.0
01/04/2022,All deceased,All deceased,104580,0,0.0
01/04/2022,0-9,Female,53602,3207742,1.6710196767695158
01/04/2022,10-19,Female,108265,3467646,3.1221468396716388
01/04/2022,20-29,Female,283689,4034267,7.031983753182425
01/04/2022,30-39,Female,361982,4490352,8.061327931529643
01/04/2022,40-49,Female,291394,3875507,7.518861403166088
01/04/2022,50-59,Female,291166,4052355,7.1851059445680345
01/04/2022,60-69,Female,225445,3247431,6.942256817773804
01/04/2022,70-79,Female,162631,2652903,6.1303032941649205
01/04/2022,80-89,Female,60268,1349524,4.465870929305444
01/04/2022,90+,Female,10138,350409,2.89319052878208
01/04/2022,All,Female,1848580,30728136,6.01591974208914
01/04/2022,All deceased,Female,50486,0,0.0
01/04/2022,0-9,Male,57031,3370947,1.6918391182062489
01/04/2022,10-19,Male,108457,3632404,2.985818758045636
01/04/2022,20-29,Male,190413,4038989,4.714372829438258
01/04/2022,30-39,Male,271161,4685181,5.787631256935431
01/04/2022,40-49,Male,248067,4177728,5.937844684957948
01/04/2022,50-59,Male,238266,4211726,5.657205620688526
01/04/2022,60-69,Male,179678,3205100,5.606002932825809
01/04/2022,70-79,Male,134472,2388840,5.629175666850856
01/04/2022,80-89,Male,46489,1014491,4.5824950640271815
01/04/2022,90+,Male,5563,172203,3.2304895965807794
01/04/2022,All,Male,1479597,30897609,4.7887103497231776
01/04/2022,All deceased,Male,54092,0,0.0
01/04/2022,All,Unknown / Prefer not to say,389,0,0.0
01/04/2022,All deceased,Unknown / Prefer not to say,2,0,0.0
01/03/2022,0-9,All,112191,6581718,1.7045853377492015
01/03/2022,10-19,All,217006,7086852,3.06209301393623
01/03/2022,20-29,All,476662,8075648,5.902461325704142
01/03/2022,30-39,All,632171,9163842,6.89853666180626
01/03/2022,40-49,All,537916,8049951,6.682227009829004
01/03/2022,50-59,All,528637,8264541,6.3964471832132
01/03/2022,60-69,All,403467,6435272,6.269618440370508
01/03/2022,70-79,All,295988,5034390,5.879322023124947
01/03/2022,80-89,All,105991,2359668,4.491775961703088
01/03/2022,90+,All,15543,521721,2.979178526453794
01/03/2022,All,All,3325686,61573603,5.401155426944888
01/03/2022,Unknown,All,114,0,0.0
01/03/2022,All deceased,All deceased,102708,0,0.0
01/03/2022,0-9,Female,54347,3209091,1.6935325299282569
01/03/2022,10-19,Female,108539,3461694,3.1354302257796327
01/03/2022,20-29,Female,285324,4038922,7.064360242658808
01/03/2022,30-39,Female,361096,4486042,8.049322766037411
01/03/2022,40-49,Female,290374,3874439,7.494607606417341
01/03/2022,50-59,Female,290821,4052753,7.175887600354623
01/03/2022,60-69,Female,224473,3238836,6.930668919327808
01/03/2022,70-79,Female,161942,2648626,6.114189017248943
01/03/2022,80-89,Female,59849,1347490,4.441517191222198
01/03/2022,90+,Female,10040,349899,2.869399455271378
01/03/2022,All,Female,1846805,30707792,6.014125014263481
01/03/2022,All deceased,Female,49584,0,0.0
01/03/2022,0-9,Male,57842,3372627,1.7150429027579983
01/03/2022,10-19,Male,108445,3625158,2.991455820684229
01/03/2022,20-29,Male,191218,4036726,4.736957623579109
01/03/2022,30-39,Male,270997,4677800,5.7932575142160845
01/03/2022,40-49,Male,247518,4175512,5.927847890270702
01/03/2022,50-59,Male,237797,4211788,5.645986930016421
01/03/2022,60-69,Male,178985,3196436,5.599517712852689
01/03/2022,70-79,Male,134042,2385764,5.618409867866227
01/03/2022,80-89,Male,46142,1012178,4.558684342082124
01/03/2022,90+,Male,5503,171822,3.202733060958433
01/03/2022,All,Male,1478489,30865811,4.79005395322352
01/03/2022,All deceased,Male,53122,0,0.0
01/03/2022,All,Unknown / Prefer not to say,392,0,0.0
01/03/2022,All deceased,Unknown / Prefer not to say,2,0,0.0
01/02/2022,0-9,All,113571,6590863,1.7231582571205015
01/02/2022,10-19,All,217324,7073569,3.072338730278873
01/02/2022,20-29,All,478852,8075279,5.929850844781957
01/02/2022,30-39,All,630849,9149999,6.894525343663973
01/02/2022,40-49,All,536707,8047908,6.668900787633259
01/02/2022,50-59,All,527773,8262106,6.38787495585266
01/02/2022,60-69,All,402171,6422657,6.2617542864269415
01/02/2022,70-79,All,294956,5026043,5.868553054560019
01/02/2022,80-89,All,105441,2357650,4.4722923249846245
01/02/2022,90+,All,15445,520887,2.965134472543949
01/02/2022,All,All,3323203,61526961,5.401214274178113
01/02/2022,Unknown,All,114,0,0.0
01/02/2022,All deceased,All deceased,101042,0,0.0
01/02/2022,0-9,Female,55057,3213444,1.7133331092746598
01/02/2022,10-19,Female,108759,3455600,3.1473260794073386
01/02/2022,20-29,Female,286799,4041164,7.096940386482707
01/02/2022,30-39,Female,360116,4480576,8.0372702081161
01/02/2022,40-49,Female,289697,3873879,7.478214988129469
01/02/2022,50-59,Female,290382,4051926,7.16651784854906
01/02/2022,60-69,Female,223703,3232542,6.920343185022809
01/02/2022,70-79,Female,161349,2644178,6.102047592862507
01/02/2022,80-89,Female,59545,1346682,4.421608070799194
01/02/2022,90+,Female,9975,349445,2.85452646339195
01/02/2022,All,Female,1845382,30689436,6.01308541479876
01/02/2022,All deceased,Female,48748,0,0.0
01/02/2022,0-9,Male,58513,3377419,1.732476781826596
01/02/2022,10-19,Male,108539,3617969,2.999998065212831
01/02/2022,20-29,Male,191934,4034115,4.757772150769128
01/02/2022,30-39,Male,270649,4669423,5.796197945656241
01/02/2022,40-49,Male,246987,4174029,5.917232486884974
01/02/2022,50-59,Male,237374,4210180,5.638096233415198
01/02/2022,60-69,Male,178460,3190115,5.594155696581471
01/02/2022,70-79,Male,133603,2381865,5.609176002838112
01/02/2022,80-89,Male,45896,1010968,4.539807392518854
01/02/2022,90+,Male,5470,171442,3.1905834042999968
01/02/2022,All,Male,1477425,30837525,4.790997331984328
01/02/2022,All deceased,Male,52292,0,0.0
01/02/2022,All,Unknown / Prefer not to say,396,0,0.0
01/02/2022,All deceased,Unknown / Prefer not to say,2,0,0.0
01/01/2022,0-9,All,115109,6596982,1.7448736407041885
01/01/2022,10-19,All,217648,7057027,3.084131603860946
01/01/2022,20-29,All,480560,8071178,5.954025546208992
01/01/2022,30-39,All,628444,9135700,6.878991210306819
01/01/2022,40-49,All,534353,8041260,6.6451401894727935
01/01/2022,50-59,All,526019,8260555,6.36784090173118
01/01/2022,60-69,All,400610,6408395,6.251331261571735
01/01/2022,70-79,All,293962,5020565,5.855157736230883
01/01/2022,80-89,All,104957,2356100,4.45469207588812
01/01/2022,90+,All,15436,521500,2.959923298178332
01/01/2022,All,All,3317212,61469262,5.3965378663566845
01/01/2022,Unknown,All,114,0,0.0
01/01/2022,All deceased,All deceased,98815,0,0.0
01/01/2022,0-9,Female,55818,3216195,1.735529095717144
01/01/2022,10-19,Female,109048,3447810,3.162819296887009
01/01/2022,20-29,Female,287891,4043745,7.119415294485681
01/01/2022,30-39,Female,358490,4476483,8.008295798286289
01/01/2022,40-49,Female,288316,3871923,7.446325766292355
01/01/2022,50-59,Female,289459,4051435,7.144604319210354
01/01/2022,60-69,Female,222802,3225492,6.907535346545582
01/01/2022,70-79,Female,160673,2640936,6.08394145106129
01/01/2022,80-89,Female,59264,1346019,4.402909617174795
01/01/2022,90+,Female,9972,350041,2.8488091395008013
01/01/2022,All,Female,1841733,30670079,6.00498290206556
01/01/2022,All deceased,Female,47694,0,0.0
01/01/2022,0-9,Male,59290,3380787,1.7537336720710297
01/01/2022,10-19,Male,108575,3609217,3.0082702148416125
01/01/2022,20-29,Male,192556,4027433,4.781109952667121
01/01/2022,30-39,Male,269871,4659217,5.79219641411851
01/01/2022,40-49,Male,246015,4169337,5.9005784372911085
01/01/2022,50-59,Male,236543,4209120,5.619773254266925
01/01/2022,60-69,Male,177799,3182903,5.586064042793638
01/01/2022,70-79,Male,133285,2379629,5.601083194060923
01/01/2022,80-89,Male,45693,1010081,4.523696614429932
01/01/2022,90+,Male,5464,171459,3.186767682069766
01/01/2022,All,Male,1475091,30799183,4.789383536569785
01/01/2022,All deceased,Male,51119,0,0.0
01/01/2022,All,Unknown / Prefer not to say,388,0,0.0
01/01/2022,All deceased,Unknown / Prefer not to say,2,0,0.0
01/12/2021,0-9,All,116194,6605024,1.759176045
01/12/2021,Oct-19,All,217635,7040013,3.091400541
01/12/2021,20-29,All,481845,8060680,5.977721483
01/12/2021,30-39,All,624714,9117494,6.851816958
01/12/2021,40-49,All,530754,8031774,6.608178965
01/12/2021,50-59,All,523251,8256444,6.337486211
01/12/2021,60-69,All,398568,6393421,6.234033392
01/12/2021,70-79,All,292481,5014507,5.832697013
01/12/2021,80-89,All,104250,2354395,4.427889118
01/12/2021,90+,All,15295,522087,2.929588364
01/12/2021,All,All,3305099,61395839,5.383262211
01/12/2021,Unknown,All,112,0,0.0
01/12/2021,All deceased,All deceased,97225,0,0.0
01/12/2021,0-9,Female,56349,3220459,1.749719528
01/12/2021,Oct-19,Female,109156,3439606,3.173503012
01/12/2021,20-29,Female,288936,4040213,7.151504141
01/12/2021,30-39,Female,356313,4467890,7.974972526
01/12/2021,40-49,Female,286551,3868178,7.407906255
01/12/2021,50-59,Female,288184,4049364,7.116771918
01/12/2021,60-69,Female,221592,3217655,6.886754484
01/12/2021,70-79,Female,159812,2637653,6.058871277
01/12/2021,80-89,Female,58861,1345150,4.375794521
01/12/2021,90+,Female,9884,350617,2.819030452
01/12/2021,All,Female,1835638,30636785,5.991614329
01/12/2021,All deceased,Female,46900,0,0.0
01/12/2021,0-9,Male,59844,3384565,1.768144503
01/12/2021,Oct-19,Male,108457,3600407,3.012353881
01/12/2021,20-29,Male,192797,4020467,4.795388197
01/12/2021,30-39,Male,268322,4649604,5.770857045
