ACH_DATE,AGE_BAND,GENDER,OPT_OUT,LIST_SIZE,RATE
01/07/2021,0-9,All,92388,6620824,1.3954154346951377
01/07/2021,10-19,All,197017,6946709,2.8361199526279277
01/07/2021,20-29,All,455018,7993241,5.692534480068848
01/07/2021,30-39,All,575241,9033003,6.368214424372493
01/07/2021,40-49,All,483522,7985937,6.0546683501259775
01/07/2021,50-59,All,479307,8224766,5.827606524003237
01/07/2021,60-69,All,365311,6323969,5.776609594386057
01/07/2021,70-79,All,272862,4982489,5.476419516430442
01/07/2021,80-89,All,97948,2342398,4.181526794336402
01/07/2021,90+,All,14234,516666,2.7549712967371573
01/07/2021,All,All,3032917,60970002,4.974441365443944
01/07/2021,Unknown,All,69,0,0.0
01/07/2021,All deceased,All deceased,89331,0,0.0
01/07/2021,0-9,Female,44686,3227978,1.384334093974618
01/07/2021,10-19,Female,99395,3394166,2.9284071551008406
01/07/2021,20-29,Female,273015,4013201,6.802923651220061
01/07/2021,30-39,Female,327407,4427837,7.394287549428761
01/07/2021,40-49,Female,260786,3846154,6.78043572878257
01/07/2021,50-59,Female,263862,4033011,6.542555921617868
01/07/2021,60-69,Female,202832,3182362,6.373630655469113
01/07/2021,70-79,Female,148998,2620692,5.685444913022972
01/07/2021,80-89,Female,55213,1339166,4.122939202458844
01/07/2021,90+,Female,9149,348034,2.62876615503083
01/07/2021,All,Female,1685343,30432601,5.537952539777984
01/07/2021,All deceased,Female,43107,0,0.0
01/07/2021,0-9,Male,47699,3392846,1.4058698803305543
01/07/2021,10-19,Male,97605,3552543,2.747468503548022
01/07/2021,20-29,Male,181914,3980040,4.570657581330841
01/07/2021,30-39,Male,247790,4605166,5.38069637446294
01/07/2021,40-49,Male,222720,4139783,5.379992139684616
01/07/2021,50-59,Male,215436,4191755,5.139517934612114
01/07/2021,60-69,Male,162472,3141607,5.1716207660601725
01/07/2021,70-79,Male,123861,2361797,5.244354193014895
01/07/2021,80-89,Male,42735,1003232,4.259732544416446
01/07/2021,90+,Male,5085,168632,3.0154419090089664
01/07/2021,All,Male,1347317,30537401,4.4120224900606315
01/07/2021,All deceased,Male,46222,0,0.0
01/07/2021,All,Unknown / Prefer not to say,257,0,0.0
01/07/2021,All deceased,Unknown / Prefer not to say,2,0,0.0
01/06/2021,0-9,All,82988,6625326,1.25258742
01/06/2021,Oct-19,All,130202,6933364,1.877905155
01/06/2021,20-29,All,238472,7967372,2.9931073880000003
01/06/2021,30-39,All,298446,9001495,3.315515923
01/06/2021,40-49,All,246276,7976890,3.0873686360000003
01/06/2021,50-59,All,246281,8216759,2.9973010039999997
01/06/2021,60-69,All,211811,6312974,3.355169845
01/06/2021,70-79,All,204256,4970652,4.109239593
01/06/2021,80-89,All,86010,2341488,3.67330518
01/06/2021,90+,All,13007,514439,2.52838529
01/06/2021,All,All,1757764,60860759,2.888172985
01/06/2021,Unknown,All,15,0,0.0
01/06/2021,All deceased,All deceased,88127,0,0.0
01/06/2021,0-9,Female,40141,3230133,1.242704248
01/06/2021,Oct-19,Female,63560,3388132,1.875959969
